time,x,y,z,yaw,pitch,roll
1683031435987552000.00000000000000000000,92.24519291083265670750,79.23208227047548746214,23.97037284499088372058,-133.36258194658765319218,0.00000000000000000000,0.00000000000000000000
1683031436093604352.00000000000000000000,95.30928672908525811636,81.50414461944298238905,25.85251274419929146120,-129.62949235746279441628,0.00000000000000000000,0.00000000000000000000
1683031436231848960.00000000000000000000,94.38502258185444304672,80.82165075868701364925,27.63568069493879164611,-126.16570505229312004758,0.00000000000000000000,0.00000000000000000000
1683031436356605440.00000000000000000000,96.04635567404241669465,81.77795599059761855187,24.82064717011592236418,-126.15188216807180765500,0.00000000000000000000,0.00000000000000000000
1683031436484528384.00000000000000000000,97.43557040279502245994,78.29524707374910974522,23.11597668468528610219,-118.77766358903801346969,0.00000000000000000000,0.00000000000000000000
1683031436621171968.00000000000000000000,99.10159196723157037923,81.22643993633127479370,25.98434916733983257586,-117.51799215515839591717,0.00000000000000000000,0.00000000000000000000
1683031436736704512.00000000000000000000,99.07980385522036215207,78.30776764376814469415,23.03558743342672698873,-113.78582374590848758089,0.00000000000000000000,0.00000000000000000000
1683031436854987776.00000000000000000000,100.43975915873895132790,78.36700097449893576140,23.89510221738315465245,-109.11951590786409838074,0.00000000000000000000,0.00000000000000000000
1683031436983378944.00000000000000000000,99.85577529832360710316,79.07625609292041701792,26.85849370903044786019,-108.94503988929166382604,0.00000000000000000000,0.00000000000000000000
1683031437093350912.00000000000000000000,101.12805048621217451910,78.43732966385756810723,25.34844115662291841318,-101.62971255313892982031,0.00000000000000000000,0.00000000000000000000
1683031437211487232.00000000000000000000,101.66373631059978777103,81.44136725572710133747,28.89534579566876004719,-98.75314398741976162910,0.00000000000000000000,0.00000000000000000000
1683031437338536448.00000000000000000000,105.20722029001241537571,77.38156855026220171112,21.00902449988311104789,-93.45239432224020958984,0.00000000000000000000,0.00000000000000000000
1683031437429510400.00000000000000000000,102.57050142186153607327,79.66125882142284808651,24.51612008114861041008,-93.24538563993125706020,0.00000000000000000000,0.00000000000000000000
1683031437601410816.00000000000000000000,107.05522414934941366482,80.31275175891461515221,26.87797810590835823064,-86.25721156721033366921,0.00000000000000000000,0.00000000000000000000
1683031437709579776.00000000000000000000,106.09929350018737181927,79.97920945561646988153,24.99291993415999613148,-84.20900905366779909400,0.00000000000000000000,0.00000000000000000000
1683031437827851008.00000000000000000000,107.35831304100729255424,79.27479131242546372960,23.88506572834287666751,-80.91364206076039522486,0.00000000000000000000,0.00000000000000000000
1683031437954388480.00000000000000000000,105.11558840586235419323,80.77057860195770899736,25.68398562216622593724,-78.77248807774051897468,0.00000000000000000000,0.00000000000000000000
1683031438075437056.00000000000000000000,107.95302238404408967654,78.99572847469556791111,25.37867136193759165508,-75.98568407366633437050,0.00000000000000000000,0.00000000000000000000
1683031438216194560.00000000000000000000,105.61012795783922513237,78.75418819440331219539,23.12624430480349957406,-76.11604327123367852437,0.00000000000000000000,0.00000000000000000000
1683031438330732544.00000000000000000000,106.21067319897132108508,78.55710906552583594475,24.21484235817409924607,-76.13070117010681769898,0.00000000000000000000,0.00000000000000000000
1683031438438899968.00000000000000000000,108.39875665138990257219,80.22255729054813855328,24.79142887611270396064,-74.77781294850557003429,0.00000000000000000000,0.00000000000000000000
1683031438581422848.00000000000000000000,108.05103385629946899371,79.32426250906961229248,23.16920896367058446685,-74.11290215773912848363,0.00000000000000000000,0.00000000000000000000
1683031438699464192.00000000000000000000,107.59567173117466154508,77.85056582510948430809,22.61251327346792905360,-77.93617311726306695618,0.00000000000000000000,0.00000000000000000000
1683031438810706944.00000000000000000000,107.09772076670375895446,80.56395978118604261908,25.21195872074192578793,-77.16709281422282629137,0.00000000000000000000,0.00000000000000000000
1683031438949594880.00000000000000000000,105.46741594977309830483,81.11468070859018553165,24.78513885285654438917,-76.49356184943327718884,0.00000000000000000000,0.00000000000000000000
1683031439072637696.00000000000000000000,105.15629452025299883644,80.07102403874759488644,22.76196778691045352616,-75.44834600819946501815,0.00000000000000000000,0.00000000000000000000
1683031439210734848.00000000000000000000,108.12636385164620378418,79.11121830624323081338,25.14081827828456283669,-78.16896023094264478459,0.00000000000000000000,0.00000000000000000000
1683031439308763136.00000000000000000000,108.24498164835100055825,80.66693796747675548886,26.31349711320127937597,-76.67882017554561002726,0.00000000000000000000,0.00000000000000000000
1683031439449131264.00000000000000000000,108.62726509580045330949,79.30882956296136399033,24.82397453891838168261,-77.07440266098861059163,0.00000000000000000000,0.00000000000000000000
1683031439559512320.00000000000000000000,105.82859275015894695571,78.96493204168548629696,24.81237739760747373907,-75.19270456309361350122,0.00000000000000000000,0.00000000000000000000
1683031439691904256.00000000000000000000,107.07971057386549773582,79.49605419068156209050,25.23315271190078235009,-76.56959912774919985168,0.00000000000000000000,0.00000000000000000000
1683031439806737152.00000000000000000000,107.53069379019987650281,81.26867614282593876851,24.34491915355661717513,-77.66156501374470622068,0.00000000000000000000,0.00000000000000000000
1683031439926106112.00000000000000000000,107.77341833967490458690,81.68644883911174758850,24.61130571931406763042,-76.74686068027349961085,0.00000000000000000000,0.00000000000000000000
1683031440034682112.00000000000000000000,108.04348501342960275906,81.13334067491931023142,25.24922186371626864343,-76.39739120739542954652,0.00000000000000000000,0.00000000000000000000
